"time","temperature","solar_irradiance","windspeed_north","windspeed_east","pressure","spec_humidity"
"2021/6/1 0:00",13.02950439,0,1.1087866,-4.0946746,101337.695,0.008126126
"2021/6/1 1:00",12.87230835,0,0.7018502,-4.0852237,101292.78,0.008183316
"2021/6/1 2:00",12.72097168,0,0.36485934,-4.1328797,101249.01,0.008251957
"2021/6/1 3:00",12.58162842,0,0.1736815,-4.037656,101214.44,0.008351204
"2021/6/1 4:00",12.61608276,5.7753906,0.15678835,-3.823606,101181.016,0.008473328
"2021/6/1 5:00",12.72530518,64,0.2614168,-3.5692906,101161.49,0.008603022
"2021/6/1 6:00",12.99312744,176.375,0.2803396,-3.4375818,101140.45,0.008732713
"2021/6/1 7:00",13.23412476,310.75,0.33097303,-3.2549653,101134.71,0.008858602
"2021/6/1 8:00",13.47149048,471.875,0.41070276,-3.1906228,101137.875,0.00897306
"2021/6/1 9:00",13.74697266,670,0.35279793,-3.2851834,101124.9,0.009011195
"2021/6/1 10:00",14.13970337,816.75,0.3202001,-3.501756,101103.54,0.008816665
"2021/6/1 11:00",14.5944458,886.5,0.44284654,-3.7852972,101087.516,0.008587767
"2021/6/1 12:00",14.98687134,910,0.4394608,-4.1623473,101047.08,0.00835504
"2021/6/1 13:00",15.24440918,882,0.46017137,-4.5481634,100998.88,0.00816046
"2021/6/1 14:00",15.37661133,778.25,0.45382944,-4.785698,100951.17,0.008026921
"2021/6/1 15:00",15.44255981,619.5,0.48552296,-4.8801656,100920.35,0.007954432
"2021/6/1 16:00",15.42479858,495.625,0.49650562,-4.8441896,100898.586,0.007942995
"2021/6/1 17:00",15.33516846,342.125,0.44697174,-4.699696,100900.2,0.007981141
"2021/6/1 18:00",15.1475769,168.4375,0.35891855,-4.470598,100908.375,0.008126069
"2021/6/1 19:00",14.86678467,51.890625,0.33588406,-4.406607,100914.42,0.008316771
"2021/6/1 20:00",14.44060669,1.296875,0.39052057,-4.604005,100928.39,0.008438815
"2021/6/1 21:00",14.11751709,0,0.51852226,-4.6288257,100915.61,0.008530349
"2021/6/1 22:00",13.82125244,0,0.54401994,-4.4695263,100900.71,0.008572296
"2021/6/1 23:00",13.62111816,0,0.5696082,-4.307749,100872.6,0.008576108
"2021/6/2 0:00",13.44851074,0,0.49135873,-3.9218671,100829.06,0.008591351
"2021/6/2 1:00",13.28624878,0,0.40257186,-3.3630793,100801.945,0.008656193
"2021/6/2 2:00",13.1098877,0,0.17798054,-2.781225,100776.805,0.008755369
"2021/6/2 3:00",13.01061401,0,-0.108493745,-2.3041465,100755.2,0.008827847
"2021/6/2 4:00",12.97860107,2.4765625,-0.10352582,-1.846329,100748.68,0.008892706
"2021/6/2 5:00",12.98861084,39.34375,-0.31824264,-1.4555612,100757.305,0.008942312
"2021/6/2 6:00",13.07824097,58.1875,-0.86523396,-1.488976,100727.72,0.008980475
"2021/6/2 7:00",13.16610107,87.875,-0.76188457,-1.8588253,100714.9,0.009037708
"2021/6/2 8:00",13.26299438,212.875,-0.12336397,-1.6700486,100715.195,0.009129238
"2021/6/2 9:00",13.4487854,421,0.7263418,-1.0692632,100742.555,0.009258897
"2021/6/2 10:00",13.74614868,678.25,1.6573005,-0.21260953,100784.445,0.009388568
"2021/6/2 11:00",14.00808105,808.5,2.2100468,0.5563009,100814.69,0.009480116
"2021/6/2 12:00",14.1484314,859,2.4812224,0.81712306,100848.27,0.009537359
"2021/6/2 13:00",14.25261841,805.5,2.6501014,0.70861375,100871.65,0.009564061
"2021/6/2 14:00",14.24953613,733.5,2.7358675,0.6058527,100891.45,0.009571699
"2021/6/2 15:00",14.21294556,554.25,2.8429458,0.60907376,100917.25,0.009545006
"2021/6/2 16:00",14.20836792,365.625,3.005033,0.9007181,100954.64,0.009487788
"2021/6/2 17:00",14.14327393,266.875,3.1463485,1.833521,101014.234,0.009426753
"2021/6/2 18:00",14.01265869,167.9375,3.1968527,2.8147888,101082.09,0.009358088
"2021/6/2 19:00",13.85216675,53.640625,3.0921712,3.6068954,101161.42,0.009270343
"2021/6/2 20:00",13.69033203,2.3691406,2.7938304,3.9641352,101249.414,0.009182587
"2021/6/2 21:00",13.57064209,0,2.783227,4.059239,101328.04,0.009121538
"2021/6/2 22:00",13.40984497,0,3.0630152,4.279299,101372.91,0.009052867
"2021/6/2 23:00",13.24221191,0,3.1644082,4.5874357,101411.89,0.008938417
"2021/6/3 0:00",13.05343018,0,3.0535717,4.8312683,101429.18,0.008709536
"2021/6/3 1:00",12.85253296,0,3.0388484,5.0612164,101454.38,0.00827085
"2021/6/3 2:00",12.71022949,0,3.179235,5.0798836,101483.52,0.007862678
"2021/6/3 3:00",12.55587158,0,3.1362438,5.0552025,101509.516,0.007643328
"2021/6/3 4:00",12.56490479,4.4472656,2.9073343,4.9532127,101541.43,0.00754414
"2021/6/3 5:00",12.67202148,45.53125,2.7217991,4.8881593,101595.28,0.007441146
"2021/6/3 6:00",12.83757935,127.0625,2.5697055,4.8146706,101663.266,0.007347705
"2021/6/3 7:00",12.98916016,230.875,2.5607839,4.638726,101736.03,0.007300057
"2021/6/3 8:00",13.1637207,367,2.661797,4.3673725,101792.94,0.007286754
"2021/6/3 9:00",13.35561523,572.5,2.6626449,4.0622563,101841.79,0.007284893
"2021/6/3 10:00",13.54400024,758.5,2.6043515,3.8299708,101890.98,0.007275365
"2021/6/3 11:00",13.62526855,860,2.5854795,3.7261102,101932.97,0.007246747
"2021/6/3 12:00",13.65886841,911,2.5835109,3.7814474,101962.93,0.007187604
"2021/6/3 13:00",13.65932617,892.5,2.466982,3.9563432,101974.68,0.007059798
"2021/6/3 14:00",13.61571655,823.5,2.3145866,4.0639906,101995.19,0.006878587
"2021/6/3 15:00",13.57802734,712,2.1698809,4.0127497,102007.9,0.00672408
"2021/6/3 16:00",13.59200439,570,2.0380845,3.8050694,102027.68,0.006602008
"2021/6/3 17:00",13.6043335,405,1.9463136,3.4850721,102046.97,0.006514275
"2021/6/3 18:00",13.61257324,235.4375,1.9422822,3.0821152,102073.36,0.006462784
"2021/6/3 19:00",13.60619507,83.46875,1.9708483,2.6112945,102109.56,0.006483778
"2021/6/3 20:00",13.53414307,3.0947266,2.0865028,2.1722338,102162.91,0.006487614
"2021/6/3 21:00",13.44835815,0,2.371669,1.8809216,102204.695,0.006455187
"2021/6/3 22:00",13.24520264,0,2.625375,1.5870659,102212.2,0.006542892
