"time","value"
"2021/6/1 0:00",0.946157186
"2021/6/1 0:30",0.974590262
"2021/6/1 1:00",0.939795185
"2021/6/1 1:30",0.902811736
"2021/6/1 2:00",0.859799613
"2021/6/1 2:30",0.83596749
"2021/6/1 3:00",0.790071987
"2021/6/1 3:30",0.7405809
"2021/6/1 4:00",0.766383756
"2021/6/1 4:30",0.789655376
"2021/6/1 5:00",0.810320767
"2021/6/1 5:30",0.883804663
"2021/6/1 6:00",0.966670042
"2021/6/1 6:30",1.044390947
"2021/6/1 7:00",1.070738238
"2021/6/1 7:30",0.998121523
"2021/6/1 8:00",0.94019754
"2021/6/1 8:30",0.839952054
"2021/6/1 9:00",0.787384998
"2021/6/1 9:30",0.689255928
"2021/6/1 10:00",0.684537036
"2021/6/1 10:30",0.658281358
"2021/6/1 11:00",0.605843396
"2021/6/1 11:30",0.573626581
"2021/6/1 12:00",0.538746227
"2021/6/1 12:30",0.525378776
"2021/6/1 13:00",0.494246713
"2021/6/1 13:30",0.482636725
"2021/6/1 14:00",0.497614347
"2021/6/1 14:30",0.526567221
"2021/6/1 15:00",0.619754138
"2021/6/1 15:30",0.688925684
"2021/6/1 16:00",0.774462143
"2021/6/1 16:30",0.888950309
"2021/6/1 17:00",0.962244972
"2021/6/1 17:30",0.993884834
"2021/6/1 18:00",0.969164371
"2021/6/1 18:30",0.944111724
"2021/6/1 19:00",0.942024389
"2021/6/1 19:30",0.927021173
"2021/6/1 20:00",0.911102149
"2021/6/1 20:30",0.874166367
"2021/6/1 21:00",0.883484295
"2021/6/1 21:30",0.834861644
"2021/6/1 22:00",0.788403675
"2021/6/1 22:30",0.677929679
"2021/6/1 23:00",0.669426842
"2021/6/1 23:30",0.645106805
"2021/6/2 0:00",0.847750585
"2021/6/2 0:30",0.880427323
"2021/6/2 1:00",0.836203
"2021/6/2 1:30",0.784121091
"2021/6/2 2:00",0.741269248
"2021/6/2 2:30",0.715510979
"2021/6/2 3:00",0.687304013
"2021/6/2 3:30",0.669114677
"2021/6/2 4:00",0.732295691
"2021/6/2 4:30",0.716270323
"2021/6/2 5:00",0.77622814
"2021/6/2 5:30",0.842232815
"2021/6/2 6:00",0.936010079
"2021/6/2 6:30",0.969114838
"2021/6/2 7:00",0.948218099
"2021/6/2 7:30",0.945235436
"2021/6/2 8:00",0.949795778
"2021/6/2 8:30",0.88755953
"2021/6/2 9:00",0.881153624
"2021/6/2 9:30",0.767150948
"2021/6/2 10:00",0.712196822
"2021/6/2 10:30",0.720501961
"2021/6/2 11:00",0.768847467
"2021/6/2 11:30",0.71129289
"2021/6/2 12:00",0.721822973
"2021/6/2 12:30",0.64432846
"2021/6/2 13:00",0.595780614
"2021/6/2 13:30",0.63199951
"2021/6/2 14:00",0.606792433
"2021/6/2 14:30",0.633987538
"2021/6/2 15:00",0.704458381
"2021/6/2 15:30",0.792343423
"2021/6/2 16:00",0.973168869
"2021/6/2 16:30",1.103794487
